ID: 148 , Time: 10:21PM Sep20 2015 , score: 156 , Depth: 2 , Access: True , Code: 200 , Size 88KB , url: http://en.wikipedia.org/wiki/Information_Age
ID: 149 , Time: 10:21PM Sep20 2015 , score: 156 , Depth: 4 , Access: True , Code: 200 , Size 155KB , url: http://en.wikipedia.org/wiki/History_of_Unix
ID: 150 , Time: 10:21PM Sep20 2015 , score: 156 , Depth: 2 , Access: True , Code: 200 , Size 147KB , url: http://en.wikipedia.org/wiki/Graphical_user_interface
ID: 151 , Time: 10:21PM Sep20 2015 , score: 156 , Depth: 2 , Access: True , Code: 200 , Size 276KB , url: http://en.wikipedia.org/wiki/Geology
ID: 152 , Time: 10:21PM Sep20 2015 , score: 156 , Depth: 1 , Access: True , Code: 200 , Size 122KB , url: http://en.wikipedia.org/wiki/Complex_systems
ID: 153 , Time: 10:21PM Sep20 2015 , score: 156 , Depth: 3 , Access: True , Code: 200 , Size 182KB , url: http://en.wikipedia.org/wiki/Calculator
ID: 154 , Time: 10:21PM Sep20 2015 , score: 152 , Depth: 6 , Access: True , Code: 200 , Size 227KB , url: http://en.wikipedia.org/wiki/ZX_Spectrum
ID: 155 , Time: 10:21PM Sep20 2015 , score: 152 , Depth: 2 , Access: True , Code: 200 , Size 247KB , url: http://en.wikipedia.org/wiki/Logic
ID: 156 , Time: 10:21PM Sep20 2015 , score: 152 , Depth: 5 , Access: True , Code: 200 , Size 56KB , url: http://en.wikipedia.org/wiki/Illiac_IV
ID: 157 , Time: 10:21PM Sep20 2015 , score: 152 , Depth: 2 , Access: True , Code: 200 , Size 40KB , url: http://en.wikipedia.org/wiki/Computer_user_satisfaction
ID: 158 , Time: 10:21PM Sep20 2015 , score: 152 , Depth: 1 , Access: True , Code: 200 , Size 27KB , url: http://en.wikipedia.org/wiki/Cambridge_Diploma_in_Computer_Science
ID: 159 , Time: 10:21PM Sep20 2015 , score: 148 , Depth: 0 , Access: True , Code: 200 , Size 41KB , url: http://www.colorado.edu/cs/
ID: 160 , Time: 10:21PM Sep20 2015 , score: 148 , Depth: 3 , Access: True , Code: 200 , Size 125KB , url: http://en.wikipedia.org/wiki/Word_processing
ID: 161 , Time: 10:21PM Sep20 2015 , score: 148 , Depth: 3 , Access: True , Code: 200 , Size 407KB , url: http://en.wikipedia.org/wiki/Microsoft
ID: 162 , Time: 10:21PM Sep20 2015 , score: 148 , Depth: 3 , Access: True , Code: 200 , Size 96KB , url: http://en.wikipedia.org/wiki/Differential_analyser
ID: 163 , Time: 10:21PM Sep20 2015 , score: 148 , Depth: 3 , Access: True , Code: 200 , Size 234KB , url: http://en.wikipedia.org/wiki/Databases
ID: 164 , Time: 10:21PM Sep20 2015 , score: 148 , Depth: 3 , Access: True , Code: 200 , Size 96KB , url: http://en.wikipedia.org/wiki/Computational_biology
